number;date;year;session;plot;transect;block;cage;species;invasiveness;density;treatment;actual_treatment;failed_exc;survival_detailed;survival;viability;damage;weevil;root_lenght;shoot_lenght;notes
34;06/06/2022;2022;s1_22;elle;elle;A7;elleA7SOexclusion;SO;native;7;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;probabile 7 densities (missing block in tag)
35;06/06/2022;2022;s1_22;elle;elle;A7;elleA7SOexclusion;SO;native;7;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;probabile 7 densities (missing block in tag)
36;06/06/2022;2022;s1_22;elle;elle;A7;elleA7SOexclusion;SO;native;7;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;probabile 7 densities (missing block in tag)
37;06/06/2022;2022;s1_22;elle;elle;A2;elleA2ROexclusion;RO;invasive;2;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
38;06/06/2022;2022;s1_22;elle;elle;A2;elleA2ROexclusion;RO;invasive;2;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
39;06/06/2022;2022;s1_22;elle;elle;A5;elleA5SOexclusion;SO;native;5;exclusion;exclusion;ok;not_ger;not_ger;viable;insect;inside_alive;NA;NA;not damag but insect
40;06/06/2022;2022;s1_22;elle;elle;A5;elleA5SOexclusion;SO;native;5;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
41;06/06/2022;2022;s1_22;elle;elle;A5;elleA5SOexclusion;SO;native;5;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
42;06/06/2022;2022;s1_22;elle;elle;A5;elleA5SOexclusion;SO;native;5;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
43;06/06/2022;2022;s1_22;elle;elle;A5;elleA5SOexclusion;SO;native;5;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
44;06/06/2022;2022;s1_22;elle;elle;A5;elleA5ROexclusion;RO;invasive;5;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
45;06/06/2022;2022;s1_22;elle;elle;A5;elleA5ROexclusion;RO;invasive;5;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
46;06/06/2022;2022;s1_22;elle;elle;A5;elleA5ROexclusion;RO;invasive;5;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
47;06/06/2022;2022;s1_22;elle;elle;A5;elleA5ROexclusion;RO;invasive;5;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
48;06/06/2022;2022;s1_22;elle;elle;A5;elleA5ROexclusion;RO;invasive;5;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
49;06/06/2022;2022;s1_22;elle;elle;A15;elleA15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
50;06/06/2022;2022;s1_22;elle;elle;A15;elleA15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;escaped;NA;NA;found adult picture taken
51;06/06/2022;2022;s1_22;elle;elle;A15;elleA15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
52;06/06/2022;2022;s1_22;elle;elle;A15;elleA15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
53;06/06/2022;2022;s1_22;elle;elle;A15;elleA15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
54;06/06/2022;2022;s1_22;elle;elle;A15;elleA15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
55;06/06/2022;2022;s1_22;elle;elle;A15;elleA15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
56;06/06/2022;2022;s1_22;elle;elle;A15;elleA15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;ger_root;germinated;viable;mold;NA;10;NA;rot root
57;06/06/2022;2022;s1_22;elle;elle;A15;elleA15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
58;06/06/2022;2022;s1_22;elle;elle;A15;elleA15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
59;06/06/2022;2022;s1_22;elle;elle;A15;elleA15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
60;06/06/2022;2022;s1_22;elle;elle;A15;elleA15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
61;06/06/2022;2022;s1_22;elle;elle;A15;elleA15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
62;06/06/2022;2022;s1_22;elle;elle;A15;elleA15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
63;06/06/2022;2022;s1_22;elle;elle;A15;elleA15ROexclusion;RO;invasive;15;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
64;06/06/2022;2022;s1_22;elle;elle;A3;elleA3ROexclusion;RO;invasive;3;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
65;06/06/2022;2022;s1_22;elle;elle;A3;elleA3ROexclusion;RO;invasive;3;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
66;06/06/2022;2022;s1_22;elle;elle;A3;elleA3ROexclusion;RO;invasive;3;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
67;06/06/2022;2022;s1_22;elle;elle;A7b;elleA7bSOexclusion;SO;native;7;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
68;06/06/2022;2022;s1_22;elle;elle;A7b;elleA7bSOexclusion;SO;native;7;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
69;06/06/2022;2022;s1_22;elle;elle;A7b;elleA7bSOexclusion;SO;native;7;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
70;06/06/2022;2022;s1_22;elle;elle;A7b;elleA7bSOexclusion;SO;native;7;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
71;06/06/2022;2022;s1_22;elle;elle;A7b;elleA7bSOexclusion;SO;native;7;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
72;06/06/2022;2022;s1_22;elle;elle;A7b;elleA7bSOexclusion;SO;native;7;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
73;06/06/2022;2022;s1_22;elle;elle;A7b;elleA7bSOexclusion;SO;native;7;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;NA;NA;NA;not founf but no holes
74;06/06/2022;2022;s1_22;elle;elle;A13;elleA13SOexclusion;SO;native;13;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
75;06/06/2022;2022;s1_22;elle;elle;A13;elleA13SOexclusion;SO;native;13;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
76;06/06/2022;2022;s1_22;elle;elle;A13;elleA13SOexclusion;SO;native;13;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
77;06/06/2022;2022;s1_22;elle;elle;A13;elleA13SOexclusion;SO;native;13;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
78;06/06/2022;2022;s1_22;elle;elle;A13;elleA13SOexclusion;SO;native;13;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
79;06/06/2022;2022;s1_22;elle;elle;A13;elleA13SOexclusion;SO;native;13;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
80;06/06/2022;2022;s1_22;elle;elle;A13;elleA13SOexclusion;SO;native;13;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
81;06/06/2022;2022;s1_22;elle;elle;A13;elleA13SOexclusion;SO;native;13;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
82;06/06/2022;2022;s1_22;elle;elle;A13;elleA13SOexclusion;SO;native;13;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
83;06/06/2022;2022;s1_22;elle;elle;A13;elleA13SOexclusion;SO;native;13;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
84;06/06/2022;2022;s1_22;elle;elle;A13;elleA13SOexclusion;SO;native;13;exclusion;exclusion;ok;not_ger;not_ger;viable;insect;inside_alive;NA;NA;not really damag. Picture taken
85;06/06/2022;2022;s1_22;elle;elle;A13;elleA13SOexclusion;SO;native;13;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
86;06/06/2022;2022;s1_22;elle;elle;A13;elleA13SOexclusion;SO;native;13;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;NA;NA;NA;no escp sign
87;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOexclusion;SO;native;9;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
88;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOexclusion;SO;native;9;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
89;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOexclusion;SO;native;9;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
90;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOexclusion;SO;native;9;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
91;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOexclusion;SO;native;9;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
92;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOexclusion;SO;native;9;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
93;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOexclusion;SO;native;9;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
94;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOexclusion;SO;native;9;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
95;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOexclusion;SO;native;9;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
96;06/06/2022;2022;s1_22;elle;elle;A13;elleA13ROexclusion;RO;invasive;13;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
97;06/06/2022;2022;s1_22;elle;elle;A13;elleA13ROexclusion;RO;invasive;13;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
98;06/06/2022;2022;s1_22;elle;elle;A13;elleA13ROexclusion;RO;invasive;13;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
99;06/06/2022;2022;s1_22;elle;elle;A13;elleA13ROexclusion;RO;invasive;13;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
100;06/06/2022;2022;s1_22;elle;elle;A13;elleA13ROexclusion;RO;invasive;13;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
101;06/06/2022;2022;s1_22;elle;elle;A13;elleA13ROexclusion;RO;invasive;13;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
102;06/06/2022;2022;s1_22;elle;elle;A13;elleA13ROexclusion;RO;invasive;13;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
103;06/06/2022;2022;s1_22;elle;elle;A13;elleA13ROexclusion;RO;invasive;13;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
104;06/06/2022;2022;s1_22;elle;elle;A13;elleA13ROexclusion;RO;invasive;13;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
105;06/06/2022;2022;s1_22;elle;elle;A13;elleA13ROexclusion;RO;invasive;13;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
106;06/06/2022;2022;s1_22;elle;elle;A13;elleA13ROexclusion;RO;invasive;13;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
107;06/06/2022;2022;s1_22;elle;elle;A13;elleA13ROexclusion;RO;invasive;13;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
108;06/06/2022;2022;s1_22;elle;elle;A13;elleA13ROexclusion;RO;invasive;13;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
109;06/06/2022;2022;s1_22;elle;elle;A9;elleA9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;ger_root;germinated;viable;NA;NA;NA;0,9;8 in bag
110;06/06/2022;2022;s1_22;elle;elle;A9;elleA9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;8 in bag, 2 larvas (onesmall)
111;06/06/2022;2022;s1_22;elle;elle;A9;elleA9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;8 in bag
112;06/06/2022;2022;s1_22;elle;elle;A9;elleA9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;inside_alive;NA;NA;8 in bag
113;06/06/2022;2022;s1_22;elle;elle;A9;elleA9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;8 in bag
114;06/06/2022;2022;s1_22;elle;elle;A9;elleA9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;8 in bag
115;06/06/2022;2022;s1_22;elle;elle;A9;elleA9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;8 in bag
116;06/06/2022;2022;s1_22;elle;elle;A9;elleA9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;8 in bag
117;06/06/2022;2022;s1_22;elle;elle;A9;elleA9ROexclusion;RO;invasive;9;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;8 in bag
118;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOcontrol;SO;native;9;control;control;ok;ger_root;germinated;viable;NA;NA;5,5;NA;
119;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOcontrol;SO;native;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
120;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOcontrol;SO;native;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
121;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOcontrol;SO;native;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
122;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOcontrol;SO;native;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
123;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOcontrol;SO;native;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
124;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOcontrol;SO;native;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
125;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOcontrol;SO;native;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
126;06/06/2022;2022;s1_22;elle;elle;A9;elleA9SOcontrol;SO;native;9;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
127;06/06/2022;2022;s1_22;elle;elle;A3;elleA3SOcontrol;SO;native;3;control;control;ok;ger_root;germinated;viable;NA;NA;0,3;NA;
128;06/06/2022;2022;s1_22;elle;elle;A3;elleA3SOcontrol;SO;native;3;control;control;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
129;06/06/2022;2022;s1_22;elle;elle;A3;elleA3SOcontrol;SO;native;3;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
130;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROexclusion;RO;invasive;17;exclusion;control;failed;ger_root;germinated;viable;NA;NA;0,7;NA;CAGE UPLIFTED
131;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROexclusion;RO;invasive;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;CAGE UPLIFTED
132;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROexclusion;RO;invasive;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;CAGE UPLIFTED
133;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROexclusion;RO;invasive;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;CAGE UPLIFTED
134;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROexclusion;RO;invasive;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;CAGE UPLIFTED
135;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROexclusion;RO;invasive;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;CAGE UPLIFTED
136;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROexclusion;RO;invasive;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;CAGE UPLIFTED
137;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROexclusion;RO;invasive;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;CAGE UPLIFTED
138;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROexclusion;RO;invasive;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;CAGE UPLIFTED
139;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROexclusion;RO;invasive;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;CAGE UPLIFTED
140;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROexclusion;RO;invasive;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;CAGE UPLIFTED
141;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROexclusion;RO;invasive;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;CAGE UPLIFTED
142;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROexclusion;RO;invasive;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;CAGE UPLIFTED
143;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROexclusion;RO;invasive;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;CAGE UPLIFTED
144;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROexclusion;RO;invasive;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;CAGE UPLIFTED
145;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROexclusion;RO;invasive;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;CAGE UPLIFTED
146;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROexclusion;RO;invasive;17;exclusion;control;failed;missing;missing;missing;NA;NA;NA;NA;CAGE UPLIFTED
147;06/06/2022;2022;s1_22;elle;elle;A3;elleA3SOexclusion;SO;native;3;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
148;06/06/2022;2022;s1_22;elle;elle;A3;elleA3SOexclusion;SO;native;3;exclusion;exclusion;ok;not_ger;not_ger;viable;insect;inside_alive;NA;NA;
149;06/06/2022;2022;s1_22;elle;elle;A3;elleA3SOexclusion;SO;native;3;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
150;06/06/2022;2022;s1_22;elle;elle;A2;elleA2SOcontrol;SO;native;2;control;control;ok;damaged;damaged;not_viable;insect;inside_alive;NA;NA;
151;06/06/2022;2022;s1_22;elle;elle;A2;elleA2SOcontrol;SO;native;2;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
152;06/06/2022;2022;s1_22;elle;elle;A7;elleA7SOcontrol;SO;native;7;control;control;ok;damaged;damaged;not_viable;animal;NA;NA;NA;
153;06/06/2022;2022;s1_22;elle;elle;A7;elleA7SOcontrol;SO;native;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
154;06/06/2022;2022;s1_22;elle;elle;A7;elleA7SOcontrol;SO;native;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
155;06/06/2022;2022;s1_22;elle;elle;A7;elleA7SOcontrol;SO;native;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
156;06/06/2022;2022;s1_22;elle;elle;A7;elleA7SOcontrol;SO;native;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
157;06/06/2022;2022;s1_22;elle;elle;A7;elleA7SOcontrol;SO;native;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
158;06/06/2022;2022;s1_22;elle;elle;A7;elleA7SOcontrol;SO;native;7;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
159;06/06/2022;2022;s1_22;elle;elle;A2;elleA2SOexclusion;SO;native;2;exclusion;exclusion;ok;damaged;damaged;not_viable;mold;NA;NA;NA;
160;06/06/2022;2022;s1_22;elle;elle;A2;elleA2SOexclusion;SO;native;2;exclusion;exclusion;ok;not_ger;not_ger;viable;NA;NA;NA;NA;
161;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROcontrol;RO;invasive;17;control;control;ok;damaged;damaged;not_viable;animal;NA;NA;NA;
162;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROcontrol;RO;invasive;17;control;control;ok;damaged;damaged;not_viable;animal;NA;NA;NA;
163;06/06/2022;2022;s1_22;elle;elle;A17;elleA17ROcontrol;RO;invasive;17;control;control;ok;missing;missing;missing;NA;NA;NA;NA;
